"scenario","age","gender","period","mean","lci","uci"
"ceasefire","5 to 9yo","female","months 4 to 6",65.1320944525999,57.7437477346667,73.6827436099663
"escalation","5 to 9yo","female","months 4 to 6",1871.36691798449,1654.11146878188,2125.61750615344
"status quo","5 to 9yo","female","months 4 to 6",1464.65208850554,1279.89314762927,1671.79224536525
"ceasefire","10 to 14yo","female","months 4 to 6",55.7753825048283,49.4484269887437,63.0976670317565
"escalation","10 to 14yo","female","months 4 to 6",1605.74239365222,1420.59571001996,1824.65375300102
"status quo","10 to 14yo","female","months 4 to 6",1257.45892322233,1098.07497162148,1437.1301553606
"ceasefire","15 to 19yo","female","months 4 to 6",45.2992621842415,40.1606794640543,51.2462242968586
"escalation","15 to 19yo","female","months 4 to 6",1302.27747751061,1151.53514279804,1479.45753435465
"status quo","15 to 19yo","female","months 4 to 6",1019.62120607005,891.304441608199,1164.46832914714
"ceasefire","20 to 29yo","female","months 4 to 6",102.439739076854,90.8193495230493,115.888197566943
"escalation","20 to 29yo","female","months 4 to 6",2943.41503937844,2602.2620957171,3343.55933189925
"status quo","20 to 29yo","female","months 4 to 6",2304.51373234265,2014.19336198404,2631.64560972313
"ceasefire","30 to 39yo","female","months 4 to 6",77.3229790102425,68.551742909323,87.4740676690012
"escalation","30 to 39yo","female","months 4 to 6",2210.26877966499,1951.34535839893,2511.72592771944
"status quo","30 to 39yo","female","months 4 to 6",1728.53034346189,1509.97141652047,1973.2083726974
"ceasefire","40 to 49yo","female","months 4 to 6",42.578183570788,37.7482700621763,48.1679179794781
"escalation","40 to 49yo","female","months 4 to 6",1198.15467301635,1049.98550641014,1367.73842594801
"status quo","40 to 49yo","female","months 4 to 6",933.520476159008,809.947433193038,1074.17488312024
"ceasefire","50 to 59yo","female","months 4 to 6",34.3117365189595,30.4195385476363,38.8162380772064
"escalation","50 to 59yo","female","months 4 to 6",932.316709697007,797.601119756689,1076.94520519113
"status quo","50 to 59yo","female","months 4 to 6",719.348201090174,607.415181159387,840.820170544915
"ceasefire","60 to 69yo","female","months 4 to 6",25.1111190176029,22.2626054646976,28.4077482826828
"escalation","60 to 69yo","female","months 4 to 6",658.486962661125,547.069812962011,776.757828660049
"status quo","60 to 69yo","female","months 4 to 6",503.373173486379,405.373033853604,603.702070080805
"ceasefire","70 to 79yo","female","months 4 to 6",9.83458936892383,8.71898949920079,11.1256905381275
"escalation","70 to 79yo","female","months 4 to 6",200.328100945053,109.268282652427,287.977357460869
"status quo","70 to 79yo","female","months 4 to 6",139.912974648569,52.7480123015205,225.376093978508
"ceasefire","80 to 100yo","female","months 4 to 6",4.76946044733518,4.22843028795614,5.39560310861223
"escalation","80 to 100yo","female","months 4 to 6",42.7915258419796,0,130.520374439184
"status quo","80 to 100yo","female","months 4 to 6",26.6328049462726,0,103.410405701106
"ceasefire","0mo","male","total",2.47190217421326,2.20702671659269,2.77130432494794
"escalation","0mo","male","total",11.4620625517796,0,50.3478424761129
"status quo","0mo","male","total",7.12530344882702,0,39.5393109270099
"ceasefire","1 to 11mo","male","total",26.7188540031404,23.8558024089361,29.9551061417642
"escalation","1 to 11mo","male","total",566.728010585817,498.973200899145,645.926837529192
"status quo","1 to 11mo","male","total",441.965702078877,384.237674575233,506.521291153775
"ceasefire","12 to 59mo","male","total",152.410287427719,136.07868887374,170.870717121355
"escalation","12 to 59mo","male","total",3249.20603353952,2871.36015568113,3701.36329115744
"status quo","12 to 59mo","male","total",2536.52823127514,2211.36095409299,2899.91385715333
"ceasefire","5 to 9yo","male","total",173.218265754304,154.65700864252,194.198991737572
"escalation","5 to 9yo","male","total",3728.64057644256,3295.74357265987,4235.2456238507
"status quo","5 to 9yo","male","total",2917.958495411,2549.85663401555,3330.58615119741
"ceasefire","10 to 14yo","male","total",184.114075153412,164.38530100787,206.414505238742
"escalation","10 to 14yo","male","total",3972.43024718198,3514.85023827778,4514.2702592568
"status quo","10 to 14yo","male","total",3110.70695458423,2715.70637541701,3555.40127600279
"ceasefire","15 to 19yo","male","total",175.434485243901,156.635813111822,196.683574993918
"escalation","15 to 19yo","male","total",3783.33002342247,3347.1690951098,4299.1541522531
"status quo","15 to 19yo","male","total",2962.72450255545,2587.0894244405,3386.15639855366
"ceasefire","20 to 29yo","male","total",412.185553157156,368.017923429292,462.110460761907
"escalation","20 to 29yo","male","total",8885.46295137471,7860.06494357724,10096.2822893283
"status quo","20 to 29yo","male","total",6958.08594418639,6077.5332426644,7950.91370767996
"ceasefire","30 to 39yo","male","total",328.985963266201,293.733559534953,368.833539568267
"escalation","30 to 39yo","male","total",7068.98112485403,6252.48336106849,8031.9682123163
"status quo","30 to 39yo","male","total",5532.04621052401,4832.19573580765,6314.23329480581
"ceasefire","40 to 49yo","male","total",157.492516767907,140.616424224044,176.568417805687
"escalation","40 to 49yo","male","total",3343.22603068846,2944.47132592713,3811.74326332187
"status quo","40 to 49yo","male","total",2609.04794241817,2269.40023694093,2985.25940597472
"ceasefire","50 to 59yo","male","total",113.620581193232,101.445497461886,127.382692139195
"escalation","50 to 59yo","male","total",2339.38816112092,2024.16923151981,2691.19559832971
"status quo","50 to 59yo","male","total",1810.60073619434,1548.3509258712,2099.98163178527
"ceasefire","60 to 69yo","male","total",74.9536599005416,66.9219465624774,84.0323102201459
"escalation","60 to 69yo","male","total",1487.55841650343,1246.70716968112,1744.01197081958
"status quo","60 to 69yo","male","total",1140.28235379466,928.705888326024,1357.74281581933
"ceasefire","70 to 79yo","male","total",35.0730288269412,31.3146018304149,39.3213645494606
"escalation","70 to 79yo","male","total",589.56603679272,395.767198475444,783.439191724132
"status quo","70 to 79yo","male","total",428.207599320719,244.416035395203,607.175209759409
"ceasefire","80 to 100yo","male","total",9.07720902279463,8.10424321636297,10.1769941798906
"escalation","80 to 100yo","male","total",44.4040924774693,0,183.349986690869
"status quo","80 to 100yo","male","total",27.8095310515039,0,144.548647701657
"ceasefire","0mo","female","total",2.22471195679193,1.98632404493342,2.49417389245315
"escalation","0mo","female","total",9.31986667007575,0,44.9765621770534
"status quo","0mo","female","total",5.78801572904996,0,35.1389007096039
"ceasefire","1 to 11mo","female","total",24.492282836212,21.8678188748581,27.4588472966171
"escalation","1 to 11mo","female","total",518.67220651222,455.933621240142,591.004576030018
"status quo","1 to 11mo","female","total",404.306075677835,351.073073018625,463.608672428607
"ceasefire","12 to 59mo","female","total",140.781580432422,125.696061638244,157.833503315018
"escalation","12 to 59mo","female","total",2998.09017241986,2645.93576214449,3416.48134736152
"status quo","12 to 59mo","female","total",2339.78692778328,2038.83824443932,2675.5468102162
"ceasefire","5 to 9yo","female","total",173.960629750393,155.319824393845,195.031273130733
"escalation","5 to 9yo","female","total",3744.67697169412,3309.94048587427,4253.44214938646
"status quo","5 to 9yo","female","total",2930.52056247222,2560.84923944084,3344.97290494658
"ceasefire","10 to 14yo","female","total",148.974023175207,133.01068710583,167.018188378659
"escalation","10 to 14yo","female","total",3213.32375890431,2842.81835296263,3651.39718517139
"status quo","10 to 14yo","female","total",2516.06878120973,2197.15499608099,2875.57569608066
"ceasefire","15 to 19yo","female","total",120.997832558911,108.032316800678,135.653410679868
"escalation","15 to 19yo","female","total",2606.28757324251,2304.60234831338,2960.88341656597
"status quo","15 to 19yo","female","total",2040.31125145138,1783.54321178846,2330.15733663984
