date,North Gaza,North Gazasmooth,Gaza,Gazasmooth,Deir Al-Balah,Deir Al-Balahsmooth,Khan Younis,Khan Younissmooth,Rafah,Rafahsmooth
1/7/24,0.159405366,0.163735187,0.064003483,0.065764593,0.205834723,0.250577881,0.517750485,0.501410612,1.342703944,1.308209726
1/6/24,0.162675002,0.166169611,0.065316288,0.066729812,0.227265405,0.272589901,0.512265768,0.497480469,1.322175538,1.286728207
1/5/24,0.16651813,0.168946207,0.066859357,0.06783875,0.261299703,0.296639066,0.503188588,0.492662062,1.291832221,1.263611916
1/4/24,0.171039695,0.171966059,0.068674829,0.069048586,0.307561089,0.321510686,0.489368516,0.487415348,1.253053871,1.239757321
1/3/24,0.175857222,0.17513325,0.070609133,0.070319141,0.36314295,0.345702162,0.475069591,0.482242102,1.205019104,1.216301345
1/2/24,0.180090567,0.178356913,0.07230888,0.071613116,0.420331825,0.367600885,0.461987909,0.477649688,1.154978819,1.194477399
1/1/24,0.183226464,0.18155166,0.073567987,0.072895884,0.462797439,0.385715882,0.453352091,0.474104755,1.116754019,1.175429818
12/31/23,0.18591066,0.184635146,0.074645729,0.074134359,0.486396691,0.398915552,0.449172905,0.471990791,1.093572015,1.160022151
12/30/23,0.188562002,0.187522758,0.07571028,0.075294833,0.488763022,0.406616646,0.451295134,0.471581914,1.085367563,1.148681848
12/29/23,0.191278523,0.190121006,0.076801001,0.076340408,0.472553567,0.408880903,0.456496415,0.473039677,1.092568494,1.141316006
12/28/23,0.194351864,0.19232276,0.07803499,0.077229314,0.443674025,0.406399362,0.464024521,0.476430448,1.1096126,1.137316117
12/27/23,0.19819496,0.194007548,0.079578047,0.077915447,0.411845399,0.400371276,0.470965208,0.481754746,1.129114386,1.135648983
12/26/23,0.201954167,0.195048905,0.081087421,0.078351934,0.380608121,0.392308431,0.477821801,0.488977518,1.148226491,1.135011211
12/25/23,0.204469821,0.195328651,0.082097492,0.078497695,0.356489421,0.383808756,0.483773818,0.498050425,1.162867447,1.134012473
12/24/23,0.205459425,0.194755389,0.082494831,0.078325963,0.339117505,0.376342443,0.491447005,0.508923174,1.171179233,1.131351031
12/23/23,0.204812876,0.193282639,0.082235233,0.077832668,0.328702795,0.371083296,0.502517623,0.521547394,1.171429473,1.125952003
12/22/23,0.201222354,0.190921475,0.080793588,0.077042377,0.324279554,0.36880324,0.519851502,0.535880513,1.163551002,1.117050396
12/21/23,0.195155967,0.187743918,0.078370051,0.076009783,0.331090746,0.369832635,0.540084142,0.551895617,1.144997094,1.104216048
12/20/23,0.188271641,0.18387569,0.075640784,0.074815613,0.3425839,0.374078524,0.561664758,0.569598585,1.121536916,1.087329589
12/19/23,0.180916799,0.179480085,0.07276506,0.073557002,0.357661939,0.381087884,0.583898879,0.589045906,1.094455324,1.066527124
12/18/23,0.173324696,0.174737116,0.069874067,0.072333853,0.37869098,0.390140754,0.602809578,0.610352202,1.064998679,1.042134075
12/17/23,0.167206861,0.169823229,0.067731832,0.071233677,0.404392419,0.40035889,0.617285886,0.633676254,1.033081002,1.01460595
12/16/23,0.162547189,0.16489613,0.066464289,0.070317932,0.42364905,0.410817166,0.633331429,0.659180568,1.003706042,0.984486204
12/15/23,0.158019479,0.160087374,0.0658085,0.069613146,0.44087636,0.420645746,0.656030034,0.686968411,0.968963627,0.952383323
12/14/23,0.153368937,0.155502747,0.066182894,0.069109609,0.456437037,0.429112464,0.68560337,0.717012074,0.928105762,0.918961107
12/13/23,0.149071323,0.151228295,0.067398202,0.068769293,0.464087529,0.435678014,0.722282528,0.749090817,0.886858418,0.884931581
12/12/23,0.144504551,0.147338806,0.068926942,0.068543344,0.465932135,0.440019124,0.765548422,0.782756298,0.844785951,0.851040428
12/11/23,0.139821008,0.143905848,0.070521637,0.06839775,0.465191198,0.442019002,0.813005588,0.817336459,0.801158569,0.818038942
